,Rooms,Bathroom,Landsize,Lattitude,Longtitude,Price
1,2,1.0,156.0,-37.8079,144.9934,1035000.0
2,3,2.0,134.0,-37.8093,144.9944,1465000.0
4,4,1.0,120.0,-37.8072,144.9941,1600000.0
6,3,2.0,245.0,-37.8024,144.9993,1876000.0
7,2,1.0,256.0,-37.806,144.9954,1636000.0
9,2,1.0,220.0,-37.801,144.9989,1097000.0
11,3,2.0,214.0,-37.8085,144.9964,1350000.0
12,2,2.0,0.0,-37.8078,144.9965,750000.0
15,2,1.0,238.0,-37.809,144.9976,1310000.0
16,3,2.0,113.0,-37.8056,144.993,1200000.0
17,3,1.0,138.0,-37.8021,144.9965,1176500.0
19,2,1.0,150.0,-37.8011,145.0004,890000.0
20,4,2.0,780.0,-37.8073,144.9952,1330000.0
23,2,1.0,0.0,-37.8015,144.9972,500000.0
24,2,2.0,124.0,-37.8079,144.9977,1100000.0
25,2,1.0,147.0,-37.808,144.994,1315000.0
27,3,3.0,166.0,-37.8017,145.0001,1447500.0
29,2,2.0,98.0,-37.8005,144.9952,1135000.0
32,3,1.0,168.0,-37.8007,144.9958,1290000.0
33,1,1.0,0.0,-37.8055,144.9961,470000.0
34,2,1.0,162.0,-37.8016,144.9956,1180000.0
35,3,2.0,120.0,-37.8022,144.9954,1195000.0
36,2,1.0,182.0,-37.8021,144.9976,1012500.0
37,2,1.0,172.0,-37.8086,144.9946,1030000.0
38,3,2.0,303.0,-37.718,144.878,840000.0
39,3,2.0,0.0,-37.7203,144.8755,730000.0
40,3,2.0,0.0,-37.7203,144.8755,770000.0
41,2,1.0,272.0,-37.7294,144.888,603000.0
42,3,2.0,239.0,-37.7218,144.8837,700000.0
43,3,1.0,290.0,-37.7273,144.8744,600000.0
44,2,1.0,168.0,-37.7215,144.8864,500000.0
47,6,3.0,976.0,-37.7239,144.8735,725000.0
48,2,1.0,110.0,-37.7216,144.871,450000.0
49,2,1.0,141.0,-37.7298,144.8883,515000.0
50,2,1.0,120.0,-37.7234,144.8792,530000.0
51,3,1.0,1063.0,-37.7249,144.8728,895000.0
52,3,1.0,0.0,-37.7217,144.8783,805000.0
